loan_id,borrower_id,business_name,sector,disbursement_date,principal,annual_rate,term_months,installment
L1000,B2000,Lagoon Ventures,Construction,2025-01-21,1500000,0.22,12,152500.0
L1001,B2001,Crown Enterprises,Technology,2025-03-03,1000000,0.26,24,63333.33
L1002,B2002,Metro Foods,Manufacturing,2025-09-04,2000000,0.26,12,210000.0
L1003,B2003,Unity Traders,Logistics,2026-02-18,750000,0.26,24,47500.0
L1004,B2004,Sterling Logistics,Construction,2025-01-15,3000000,0.3,6,575000.0
L1005,B2005,Nova Traders,Education,2025-02-21,1500000,0.18,9,189166.67
L1006,B2006,Unity Traders,Retail,2025-12-22,2000000,0.22,6,370000.0
L1007,B2007,Crown Holdings,Manufacturing,2025-09-05,2000000,0.3,18,161111.11
L1008,B2008,Unity Services,Food & Beverage,2025-07-09,3000000,0.18,9,378333.33
L1009,B2009,Harvest Supplies,Construction,2025-08-04,1500000,0.22,12,152500.0
L1010,B2010,Pioneer Ventures,Fashion,2026-04-12,500000,0.26,24,31666.67
L1011,B2011,Metro Farms,Logistics,2026-01-23,1000000,0.3,24,66666.67
L1012,B2012,Summit Services,Retail,2025-04-19,1500000,0.3,6,287500.0
L1013,B2013,Pioneer Logistics,Technology,2026-02-22,2000000,0.22,18,147777.78
L1014,B2014,Prime Foods,Food & Beverage,2025-10-13,1000000,0.18,12,98333.33
L1015,B2015,Apex Stores,Technology,2025-07-19,1500000,0.3,12,162500.0
L1016,B2016,Apex Services,Fashion,2025-10-18,1000000,0.18,12,98333.33
L1017,B2017,Harvest Logistics,Agriculture,2025-10-01,750000,0.3,12,81250.0
L1018,B2018,Bright Farms,Logistics,2026-05-24,250000,0.3,9,34027.78
L1019,B2019,Apex Supplies,Technology,2026-04-08,1000000,0.18,18,70555.56
L1020,B2020,Sterling Logistics,Food & Beverage,2026-05-18,750000,0.22,12,76250.0
L1021,B2021,Crown Enterprises,Agriculture,2025-06-01,250000,0.3,6,47916.67
L1022,B2022,Summit Traders,Construction,2025-12-05,3000000,0.3,12,325000.0
L1023,B2023,Coastal Enterprises,Construction,2025-08-13,500000,0.18,9,63055.56
L1024,B2024,Prime Holdings,Manufacturing,2025-10-10,3000000,0.22,6,555000.0
L1025,B2025,Harvest Services,Manufacturing,2025-06-25,1000000,0.22,18,73888.89
L1026,B2026,Unity Enterprises,Logistics,2025-04-22,500000,0.3,18,40277.78
L1027,B2027,Unity Enterprises,Logistics,2025-01-03,1000000,0.18,24,56666.67
L1028,B2028,Summit Traders,Education,2025-12-09,2000000,0.26,12,210000.0
L1029,B2029,Unity Logistics,Construction,2024-12-21,1000000,0.26,18,77222.22
L1030,B2030,Prime Services,Agriculture,2025-02-16,250000,0.26,18,19305.56
L1031,B2031,Coastal Group,Food & Beverage,2026-02-02,500000,0.18,12,49166.67
L1032,B2032,Summit Logistics,Manufacturing,2025-12-03,500000,0.3,12,54166.67
L1033,B2033,Verde Logistics,Retail,2026-05-16,1000000,0.26,9,132777.78
L1034,B2034,Crown Stores,Retail,2025-02-26,750000,0.22,12,76250.0
L1035,B2035,Nova Ventures,Health,2025-04-14,1500000,0.22,12,152500.0
L1036,B2036,Coastal Supplies,Health,2025-09-13,2000000,0.3,9,272222.22
L1037,B2037,Sterling Stores,Education,2026-03-12,500000,0.22,6,92500.0
L1038,B2038,Prime Group,Construction,2025-09-04,750000,0.22,12,76250.0
L1039,B2039,Crown Works,Technology,2025-02-08,500000,0.26,18,38611.11
L1040,B2040,Harvest Foods,Retail,2025-05-03,1500000,0.3,24,100000.0
L1041,B2041,Sterling Traders,Education,2025-02-15,1000000,0.22,9,129444.44
L1042,B2042,Coastal Group,Health,2026-05-09,500000,0.26,24,31666.67
L1043,B2043,Summit Supplies,Retail,2026-04-07,3000000,0.18,24,170000.0
L1044,B2044,Lagoon Ventures,Technology,2025-05-12,3000000,0.18,24,170000.0
L1045,B2045,Apex Traders,Fashion,2026-03-25,500000,0.18,24,28333.33
L1046,B2046,Metro Farms,Retail,2024-12-21,750000,0.22,18,55416.67
L1047,B2047,Nova Works,Logistics,2026-01-21,750000,0.18,9,94583.33
L1048,B2048,Summit Enterprises,Food & Beverage,2024-12-04,250000,0.3,24,16666.67
L1049,B2049,Summit Logistics,Fashion,2025-06-17,2000000,0.18,24,113333.33
L1050,B2050,Apex Traders,Food & Beverage,2026-05-21,750000,0.22,24,45000.0
L1051,B2051,Prime Stores,Construction,2026-04-01,500000,0.22,9,64722.22
L1052,B2052,Pioneer Services,Health,2026-05-04,750000,0.3,12,81250.0
L1053,B2053,Crown Ventures,Technology,2025-07-06,3000000,0.18,24,170000.0
L1054,B2054,Lagoon Stores,Fashion,2026-02-04,1000000,0.26,6,188333.33
L1055,B2055,Pioneer Logistics,Manufacturing,2026-05-09,250000,0.26,12,26250.0
L1056,B2056,Bright Group,Health,2025-09-08,3000000,0.22,24,180000.0
L1057,B2057,Prime Enterprises,Agriculture,2025-02-18,2000000,0.26,6,376666.67
L1058,B2058,Nova Enterprises,Education,2024-12-27,500000,0.18,12,49166.67
L1059,B2059,Bright Group,Food & Beverage,2025-07-13,1500000,0.3,18,120833.33
L1060,B2060,Harvest Holdings,Health,2025-05-23,500000,0.22,18,36944.44
L1061,B2061,Verde Logistics,Agriculture,2026-01-17,3000000,0.3,24,200000.0
L1062,B2062,Pioneer Works,Education,2025-02-11,3000000,0.18,12,295000.0
L1063,B2063,Harvest Works,Technology,2025-04-13,1000000,0.22,9,129444.44
L1064,B2064,Bright Traders,Health,2026-03-23,3000000,0.3,6,575000.0
L1065,B2065,Coastal Works,Food & Beverage,2025-06-04,500000,0.22,24,30000.0
L1066,B2066,Harvest Supplies,Food & Beverage,2026-04-25,1500000,0.18,6,272500.0
L1067,B2067,Bright Foods,Food & Beverage,2025-08-04,1000000,0.26,6,188333.33
L1068,B2068,Pioneer Services,Fashion,2026-02-02,1000000,0.26,12,105000.0
L1069,B2069,Lagoon Services,Education,2026-02-09,3000000,0.26,12,315000.0
L1070,B2070,Harvest Foods,Logistics,2025-09-02,1000000,0.3,6,191666.67
L1071,B2071,Bright Stores,Fashion,2025-11-16,3000000,0.22,12,305000.0
L1072,B2072,Sterling Ventures,Retail,2026-04-15,3000000,0.18,6,545000.0
L1073,B2073,Sterling Services,Manufacturing,2025-07-25,1500000,0.3,6,287500.0
L1074,B2074,Crown Group,Construction,2025-04-27,750000,0.26,24,47500.0
L1075,B2075,Apex Logistics,Health,2025-11-22,2000000,0.3,6,383333.33
L1076,B2076,Metro Enterprises,Construction,2026-05-24,2000000,0.3,12,216666.67
L1077,B2077,Unity Ventures,Agriculture,2025-04-08,250000,0.22,6,46250.0
L1078,B2078,Metro Enterprises,Fashion,2025-10-07,750000,0.26,9,99583.33
L1079,B2079,Coastal Services,Manufacturing,2025-07-11,500000,0.18,18,35277.78
L1080,B2080,Coastal Traders,Health,2025-12-25,2000000,0.3,12,216666.67
L1081,B2081,Sterling Supplies,Health,2026-05-23,1000000,0.18,18,70555.56
L1082,B2082,Crown Stores,Logistics,2026-01-18,250000,0.18,9,31527.78
L1083,B2083,Prime Works,Construction,2025-10-19,1000000,0.3,24,66666.67
L1084,B2084,Prime Supplies,Manufacturing,2025-11-03,1500000,0.26,18,115833.33
L1085,B2085,Sterling Holdings,Health,2026-01-04,3000000,0.18,24,170000.0
L1086,B2086,Nova Ventures,Logistics,2025-08-22,3000000,0.3,18,241666.67
L1087,B2087,Verde Foods,Food & Beverage,2025-12-16,250000,0.26,6,47083.33
L1088,B2088,Unity Enterprises,Health,2025-02-16,250000,0.22,12,25416.67
L1089,B2089,Unity Foods,Health,2026-01-21,3000000,0.26,18,231666.67
L1090,B2090,Prime Enterprises,Retail,2025-02-26,2000000,0.3,6,383333.33
L1091,B2091,Crown Foods,Construction,2025-08-18,2000000,0.3,12,216666.67
L1092,B2092,Crown Group,Logistics,2026-01-10,2000000,0.3,24,133333.33
L1093,B2093,Summit Works,Food & Beverage,2026-02-10,1000000,0.22,9,129444.44
L1094,B2094,Metro Ventures,Technology,2025-01-26,1000000,0.26,12,105000.0
L1095,B2095,Crown Group,Agriculture,2025-03-15,3000000,0.22,24,180000.0
L1096,B2096,Crown Farms,Manufacturing,2025-02-11,1500000,0.18,24,85000.0
L1097,B2097,Verde Ventures,Food & Beverage,2025-07-04,500000,0.3,24,33333.33
L1098,B2098,Bright Ventures,Agriculture,2025-08-16,250000,0.26,18,19305.56
L1099,B2099,Unity Logistics,Agriculture,2026-01-23,1000000,0.3,9,136111.11
L1100,B2100,Crown Supplies,Food & Beverage,2024-12-09,1000000,0.26,24,63333.33
L1101,B2101,Harvest Services,Education,2025-07-27,250000,0.26,24,15833.33
L1102,B2102,Pioneer Ventures,Construction,2024-12-03,1500000,0.18,24,85000.0
L1103,B2103,Bright Foods,Logistics,2025-11-03,1500000,0.3,24,100000.0
L1104,B2104,Summit Stores,Manufacturing,2025-08-04,2000000,0.3,18,161111.11
L1105,B2105,Bright Ventures,Retail,2025-05-18,3000000,0.18,6,545000.0
L1106,B2106,Harvest Logistics,Education,2026-02-17,3000000,0.3,24,200000.0
L1107,B2107,Lagoon Ventures,Technology,2025-04-02,1500000,0.3,24,100000.0
L1108,B2108,Bright Traders,Logistics,2026-03-19,2000000,0.22,24,120000.0
L1109,B2109,Crown Supplies,Construction,2025-02-04,1500000,0.26,12,157500.0
L1110,B2110,Crown Stores,Food & Beverage,2025-01-23,1000000,0.3,6,191666.67
L1111,B2111,Nova Enterprises,Construction,2024-12-08,250000,0.26,18,19305.56
L1112,B2112,Bright Foods,Education,2025-09-02,250000,0.18,18,17638.89
L1113,B2113,Prime Services,Food & Beverage,2025-08-20,750000,0.22,6,138750.0
L1114,B2114,Crown Logistics,Construction,2025-06-27,1500000,0.26,12,157500.0
L1115,B2115,Nova Supplies,Fashion,2026-03-16,1000000,0.18,6,181666.67
L1116,B2116,Pioneer Traders,Manufacturing,2025-07-16,1000000,0.22,18,73888.89
L1117,B2117,Metro Farms,Agriculture,2025-02-05,1000000,0.26,12,105000.0
L1118,B2118,Harvest Ventures,Fashion,2025-02-04,3000000,0.3,6,575000.0
L1119,B2119,Verde Works,Agriculture,2025-11-12,2000000,0.22,18,147777.78
L1120,B2120,Verde Group,Fashion,2025-02-12,2000000,0.3,9,272222.22
L1121,B2121,Unity Ventures,Logistics,2026-04-01,750000,0.22,12,76250.0
L1122,B2122,Pioneer Supplies,Construction,2025-01-16,750000,0.26,12,78750.0
L1123,B2123,Sterling Holdings,Health,2025-10-18,1500000,0.18,9,189166.67
L1124,B2124,Metro Works,Health,2025-03-12,1000000,0.26,18,77222.22
L1125,B2125,Lagoon Farms,Health,2026-02-20,1000000,0.18,24,56666.67
L1126,B2126,Coastal Supplies,Education,2026-01-15,500000,0.18,18,35277.78
L1127,B2127,Prime Farms,Education,2025-06-14,250000,0.18,6,45416.67
L1128,B2128,Coastal Traders,Food & Beverage,2026-02-02,250000,0.26,9,33194.44
L1129,B2129,Bright Traders,Education,2026-01-09,250000,0.3,18,20138.89
L1130,B2130,Summit Foods,Construction,2025-12-24,750000,0.26,9,99583.33
L1131,B2131,Nova Stores,Manufacturing,2025-12-04,1000000,0.26,9,132777.78
L1132,B2132,Pioneer Ventures,Technology,2025-08-21,750000,0.3,9,102083.33
L1133,B2133,Bright Enterprises,Logistics,2026-01-11,3000000,0.22,18,221666.67
L1134,B2134,Summit Traders,Education,2026-01-15,1000000,0.26,6,188333.33
L1135,B2135,Sterling Services,Manufacturing,2026-04-27,3000000,0.18,12,295000.0
L1136,B2136,Metro Logistics,Retail,2025-11-04,1000000,0.3,12,108333.33
L1137,B2137,Unity Works,Food & Beverage,2026-03-21,250000,0.22,12,25416.67
L1138,B2138,Bright Group,Logistics,2025-05-05,500000,0.3,24,33333.33
L1139,B2139,Verde Enterprises,Agriculture,2025-03-08,500000,0.3,12,54166.67
L1140,B2140,Sterling Farms,Construction,2024-12-03,500000,0.3,9,68055.56
L1141,B2141,Crown Group,Retail,2025-10-18,750000,0.3,18,60416.67
L1142,B2142,Coastal Works,Education,2026-01-10,2000000,0.3,12,216666.67
L1143,B2143,Sterling Holdings,Health,2025-05-14,1000000,0.26,18,77222.22
L1144,B2144,Sterling Holdings,Fashion,2025-07-25,750000,0.18,12,73750.0
L1145,B2145,Prime Stores,Fashion,2025-10-14,2000000,0.26,12,210000.0
L1146,B2146,Summit Stores,Fashion,2026-05-25,1500000,0.22,18,110833.33
L1147,B2147,Lagoon Enterprises,Agriculture,2025-05-06,500000,0.26,6,94166.67
L1148,B2148,Bright Holdings,Logistics,2025-07-09,250000,0.26,12,26250.0
L1149,B2149,Nova Services,Construction,2025-03-19,1000000,0.26,18,77222.22
L1150,B2150,Lagoon Supplies,Technology,2026-03-13,3000000,0.26,18,231666.67
L1151,B2151,Lagoon Stores,Food & Beverage,2025-05-27,1500000,0.22,18,110833.33
L1152,B2152,Apex Works,Construction,2025-09-20,2000000,0.26,12,210000.0
L1153,B2153,Coastal Services,Technology,2025-07-27,250000,0.18,24,14166.67
L1154,B2154,Prime Logistics,Retail,2026-05-21,1500000,0.18,9,189166.67
L1155,B2155,Nova Farms,Agriculture,2025-09-21,3000000,0.3,12,325000.0
L1156,B2156,Sterling Group,Retail,2025-05-27,500000,0.18,12,49166.67
L1157,B2157,Lagoon Traders,Education,2025-03-15,1000000,0.22,24,60000.0
L1158,B2158,Bright Holdings,Food & Beverage,2025-04-01,250000,0.3,9,34027.78
L1159,B2159,Crown Stores,Education,2026-04-19,2000000,0.26,18,154444.44
L1160,B2160,Bright Farms,Logistics,2026-01-20,750000,0.22,24,45000.0
L1161,B2161,Bright Works,Health,2025-01-17,500000,0.22,24,30000.0
L1162,B2162,Metro Enterprises,Education,2025-04-19,1000000,0.3,6,191666.67
L1163,B2163,Sterling Supplies,Fashion,2025-10-19,500000,0.22,9,64722.22
L1164,B2164,Verde Traders,Fashion,2026-02-24,3000000,0.26,9,398333.33
L1165,B2165,Summit Enterprises,Retail,2025-02-08,1000000,0.3,24,66666.67
L1166,B2166,Sterling Supplies,Manufacturing,2025-12-10,1000000,0.22,18,73888.89
L1167,B2167,Prime Ventures,Health,2025-11-09,2000000,0.26,12,210000.0
L1168,B2168,Verde Stores,Fashion,2025-03-27,2000000,0.26,18,154444.44
L1169,B2169,Prime Ventures,Fashion,2025-08-25,500000,0.22,12,50833.33
L1170,B2170,Bright Logistics,Agriculture,2025-01-02,750000,0.26,9,99583.33
L1171,B2171,Metro Farms,Manufacturing,2026-05-18,3000000,0.22,9,388333.33
L1172,B2172,Harvest Holdings,Education,2026-05-21,1000000,0.3,12,108333.33
L1173,B2173,Lagoon Logistics,Health,2025-06-07,1000000,0.3,9,136111.11
L1174,B2174,Pioneer Stores,Logistics,2026-05-21,500000,0.26,12,52500.0
L1175,B2175,Summit Holdings,Education,2026-03-07,750000,0.18,9,94583.33
L1176,B2176,Sterling Group,Technology,2024-12-08,250000,0.22,12,25416.67
L1177,B2177,Nova Group,Construction,2025-11-12,3000000,0.3,12,325000.0
L1178,B2178,Sterling Traders,Food & Beverage,2025-04-22,1500000,0.22,24,90000.0
L1179,B2179,Pioneer Logistics,Manufacturing,2025-03-16,750000,0.22,6,138750.0
L1180,B2180,Bright Works,Manufacturing,2026-02-14,3000000,0.18,12,295000.0
L1181,B2181,Harvest Supplies,Retail,2026-01-03,750000,0.18,6,136250.0
L1182,B2182,Coastal Stores,Retail,2026-05-13,500000,0.3,12,54166.67
L1183,B2183,Bright Farms,Construction,2026-03-04,1500000,0.3,9,204166.67
L1184,B2184,Metro Foods,Agriculture,2025-08-06,3000000,0.22,9,388333.33
L1185,B2185,Lagoon Ventures,Retail,2025-02-01,750000,0.22,6,138750.0
L1186,B2186,Coastal Holdings,Agriculture,2025-01-14,500000,0.18,12,49166.67
L1187,B2187,Harvest Foods,Fashion,2025-09-22,1000000,0.26,24,63333.33
L1188,B2188,Pioneer Holdings,Logistics,2025-10-07,3000000,0.3,12,325000.0
L1189,B2189,Bright Traders,Agriculture,2026-01-09,500000,0.22,24,30000.0
L1190,B2190,Bright Logistics,Food & Beverage,2026-03-20,500000,0.26,6,94166.67
L1191,B2191,Summit Services,Retail,2024-12-25,250000,0.3,6,47916.67
L1192,B2192,Harvest Ventures,Health,2025-02-03,1500000,0.22,18,110833.33
L1193,B2193,Bright Logistics,Education,2025-04-16,1500000,0.22,24,90000.0
L1194,B2194,Crown Works,Education,2025-09-17,1000000,0.3,6,191666.67
L1195,B2195,Unity Works,Construction,2025-05-07,500000,0.26,24,31666.67
L1196,B2196,Sterling Ventures,Fashion,2026-04-27,250000,0.26,9,33194.44
L1197,B2197,Harvest Supplies,Agriculture,2025-09-22,250000,0.22,18,18472.22
L1198,B2198,Bright Enterprises,Fashion,2025-11-09,2000000,0.3,6,383333.33
L1199,B2199,Crown Farms,Technology,2025-06-01,1500000,0.26,6,282500.0
L1200,B2200,Lagoon Ventures,Health,2025-05-20,2000000,0.18,9,252222.22
L1201,B2201,Pioneer Stores,Food & Beverage,2025-04-04,2000000,0.26,6,376666.67
L1202,B2202,Bright Works,Retail,2026-02-14,250000,0.22,24,15000.0
L1203,B2203,Prime Supplies,Education,2025-09-27,1500000,0.22,12,152500.0
L1204,B2204,Verde Foods,Logistics,2025-01-24,750000,0.18,12,73750.0
L1205,B2205,Coastal Holdings,Construction,2025-12-02,1000000,0.18,12,98333.33
L1206,B2206,Verde Ventures,Logistics,2026-05-23,500000,0.18,6,90833.33
L1207,B2207,Verde Foods,Health,2026-03-24,2000000,0.26,9,265555.56
L1208,B2208,Crown Services,Health,2025-09-11,2000000,0.26,18,154444.44
L1209,B2209,Metro Works,Health,2025-04-21,2000000,0.18,24,113333.33
L1210,B2210,Apex Traders,Agriculture,2026-04-01,250000,0.22,18,18472.22
L1211,B2211,Metro Ventures,Construction,2026-04-03,2000000,0.26,24,126666.67
L1212,B2212,Summit Enterprises,Food & Beverage,2025-08-05,750000,0.22,24,45000.0
L1213,B2213,Summit Holdings,Agriculture,2026-04-24,3000000,0.18,24,170000.0
L1214,B2214,Metro Holdings,Health,2026-03-20,1500000,0.26,24,95000.0
L1215,B2215,Crown Works,Health,2025-01-21,1500000,0.26,18,115833.33
L1216,B2216,Lagoon Farms,Technology,2025-07-03,2000000,0.26,24,126666.67
L1217,B2217,Crown Traders,Retail,2025-09-03,250000,0.22,9,32361.11
L1218,B2218,Crown Works,Education,2025-03-27,3000000,0.3,9,408333.33
L1219,B2219,Verde Supplies,Health,2025-11-11,1500000,0.22,9,194166.67
L1220,B2220,Nova Supplies,Agriculture,2025-06-12,250000,0.26,18,19305.56
L1221,B2221,Metro Services,Food & Beverage,2025-01-06,750000,0.22,9,97083.33
L1222,B2222,Coastal Stores,Manufacturing,2025-05-05,750000,0.18,18,52916.67
L1223,B2223,Crown Group,Education,2026-01-07,500000,0.22,6,92500.0
L1224,B2224,Summit Traders,Health,2025-06-08,1000000,0.3,9,136111.11
L1225,B2225,Bright Stores,Agriculture,2025-01-13,1000000,0.18,9,126111.11
L1226,B2226,Unity Farms,Food & Beverage,2025-01-26,500000,0.26,18,38611.11
L1227,B2227,Crown Logistics,Education,2025-04-07,250000,0.22,9,32361.11
L1228,B2228,Nova Holdings,Manufacturing,2026-01-25,250000,0.26,24,15833.33
L1229,B2229,Coastal Foods,Health,2025-10-02,750000,0.3,6,143750.0
L1230,B2230,Verde Holdings,Health,2025-07-03,2000000,0.26,24,126666.67
L1231,B2231,Summit Ventures,Education,2025-09-05,250000,0.22,9,32361.11
L1232,B2232,Coastal Farms,Fashion,2025-06-16,1000000,0.26,18,77222.22
L1233,B2233,Crown Stores,Logistics,2026-03-11,250000,0.18,18,17638.89
L1234,B2234,Lagoon Enterprises,Food & Beverage,2025-10-26,750000,0.18,6,136250.0
L1235,B2235,Summit Group,Agriculture,2025-06-08,500000,0.26,24,31666.67
L1236,B2236,Pioneer Ventures,Education,2025-01-13,500000,0.3,9,68055.56
L1237,B2237,Apex Enterprises,Logistics,2025-10-24,2000000,0.26,9,265555.56
L1238,B2238,Nova Stores,Education,2025-05-07,750000,0.18,6,136250.0
L1239,B2239,Unity Traders,Health,2024-12-21,750000,0.22,12,76250.0
